PMC8691838.jsonl,"Two participants’ data were excluded from analyses based on behavioral performance, leaving a sample of 21 participants (nine female, mean age: 67 years, age range: 52–78)."
PMC8007214.jsonl,"Adult experimental flies were allowed to emerge and mate for 2 days before being lightly anaesthetised with CO2, and females randomly allocated onto SYA containing RU486 (200 μM) at a standard density per vial (n = 15), with a minimum 150 flies per condition."
PMC8007214.jsonl,"The data have been deposited in NCBI's Gene Expression Omnibus (GEO) (Edgar et al., 2002) under the accession number GSE151826.RT-PCR analysisAdult female flies were induced on SYA medium containing 200 μM R4486 for 7 days before being flash-frozen in liquid nitrogen."
PMC7785293.jsonl,"#: A123811 in 2000OtherMineral oilSigma-AldrichCat#: M5904Artificial selectionAn outcrossed D. melanogaster population was founded from the progeny of 377 females collected in July 2018 from banana and yeast traps set up in an allotment plot in Cambridge, UK (52°12’12.5”N 0°09’00.6”E)."
PMC7785293.jsonl,"From the progeny of each isofemale line, 5 females and five males lines were sorted into a population cage to create the source population with 3770 flies."
PMC7785293.jsonl,"48 hr after egg transfer, a single female wasp was added into vials for infection treatments and allowed to infect larvae for 24 hr."
PMC9038191.jsonl,"Nineteen healthy volunteers (10 females, 9 males; age 25 ± 4 years), mean ± standard deviation (SD; age range 20–35 years) were thus considered for this study."
PMC8331177.jsonl,"The results of the Canadian patients (unpublished) were contrasted with those of 18 healthy controls (10 males; a subset of those included in Kwan et al., 2016) age-matched to the patients (vmPFC patients: M = 61.00, SD = 9.83; healthy controls: M = 67.94, SD = 13.57, t22 = 1.15, p = 0.26)."
PMC9363122.jsonl,"The aging dataset from Looker et al., 1998 consisted of mean total femur BMD measurements in non-Hispanic white, non-Hispanic black, and Mexican American women, reported in 10-year age bins ranging from 20 to 80 years and older."
PMC8555981.jsonl,"All flies were kept on a 12 hr light/dark cycle.Sex ratio assaysTo assess the effect of transgene expression on adult sex ratios (measurement of male killing), sex ratio assays were performed as previously described (Perlmutter et al., 2019)."
PMC7806273.jsonl,"Informed patient consent was not required.Patient specimensMother–child pairs were selected from a randomized, placebo-controlled trial to determine the impact of twice-daily valacyclovir (500 mg) on breast milk HIV RNA viral load in HIV-1/HSV-2 co-infected women (NCT 00530777)."
PMC8376251.jsonl,"Mice were then housed for 3 weeks with random females to promote mating with the intent to discharge sperms in which tamoxifen has not yet induced Cre expression.After 3 weeks, each male mouse was housed with three 7–8-week-old C57BL/6 fertile females for 3 months."
PMC8007213.jsonl,"Odor concentration was 0.5 μl of 20 mM for vanillin (VNL) or 100 mM for 4-methyl-thiazole (4MT) (Wako).Habituation/dishabituation testFor the test, adult littermates (6w-old male) were kept individually in a new cage (26×40×18 cm) containing a plain filter paper for 5 min prior to the experiment."
PMC8266385.jsonl,"Materials and methodsParticipantsForty right-handed, healthy participants over 18 years of age were recruited for this study (24.28 ± 5.06 years old; 19 male, 21 female): 20 for the main experiment (Figures 2–5) and 20 for the follow-up experiment (Figure 6)."
PMC7987347.jsonl,"Rat (Rattus norvegicus; N = 10, three females) distal gut samples from adults and juveniles were collected directly from the colon shortly following trapping in New York City (NY) between February and May 2017 (Combs et al., 2018)."
PMC7987347.jsonl,"Vicuña (Vicugna vicugna; N = 5, two females) fecal samples were collected during spring 2018 from a captive population in Santiago, Chile (CHL) that was free-grazing but supplemented with hay."
PMC8490980.jsonl,"Uptake assay was performed as described previously (Gomez‐Lamarca et al, 2015).Adult tissues analysisFor the analysis of the adult fly wings, female flies were collected in 70% ethanol for 2 h, rehydrated in PBS and one wing per fly was isolated and mounted in a 50% glycerol solution."
PMC9555866.jsonl,These patients were 65% male and had a median age of 65 years.
PMC7768286.jsonl,"On day 1, a five-week-old Swiss Webster (Charles River) male, the “intruder,” was introduced to the cage divided with a clear perforated divider for 5 min."
PMC7768286.jsonl,"(2016) dataset.Projection mappingBrain tissue from six females and five males from different litters, but with a female and male from the same litter where possible, were collected at P90 and processed as previously described (Niederkofler et al., 2016)."
PMC7755395.jsonl,"Together, data from 14 unique participants (22–50 years old, five females) were analyzed, with variable and overlapping coverage in PC (n = 14), PFC (n = 13), OFC (n = 8), and MTL (n = 9)."
PMC8051945.jsonl,"Materials and methodsParticipantsA total of 28 participants took part in Experiment 1 (18 female, 10 male, M age = 23.5 (7.0)) and 18 separate participants took part in Experiment 2 (7 female, 11 male, M age = 21.5 (4.1)) for $15 per hour in gift card credit."
PMC7853720.jsonl,"A total of 338 JU1373 and 412 NIC58 control crosses were done on 107 of these days.To estimate equilibrium male frequency, we scored sex ratio after 10 generations of passaging at large population size."
PMC8933005.jsonl,"Batches from three different donors were used in this study: F1MC1 from a male Caucasian donor 1 year old (lot number 6062703.3), F6MC1 from a male Caucasian donor 6 years old (lot number 0080303.2), and F26FC1 from a female Caucasian donor 26 years old (lot number 415Z005.3)."
PMC8555988.jsonl,"56 healthy adults (38 female, age=27.3±9.2 years, 3 left-handed) were recruited in the Dallas-Fort Worth metropolitan area."
PMC8555988.jsonl,"The final sample had 48 healthy adults (33 female, age=27.6 ±9.1 years, 3 left-handed)."
PMC8555988.jsonl,"The final sample had 1342 adults (649 female, age=34.5 ± 12.8 years; report of demographics excluded another 21 participants who typed in an incorrect ID for the demographics survey and whose task data were intact but could not be linked to demographic data)."
PMC9394055.jsonl,"On the test day, the female was removed after 1 h, and a younger strange male intruder (20.4–23.0 g) and a new object were introduced into the older resident male (27.0–30.4 g) for 9 min at the same time."
PMC8853656.jsonl,"Study members (N = 1037; 91% of eligible births; 52% male) were all individuals born between April 1972 and March 1973 in Dunedin, New Zealand (NZ), who were eligible based on residence in the province and who participated in the first assessment at age 3."
PMC8853656.jsonl,This sample was 54% women and had an average age of 66 years (SD = 9) at the time blood draws for DNA methylation analysis were conducted.
PMC7787663.jsonl,"obj files).In vivo calcium imagingWe imaged brain activity following pC1 optogenetic activation (though the microscope objective) under a two-photon custom made microscope (Pacheco et al., 2021) in females, using the calcium indicator GCaMP6s (Chen et al., 2013)."
PMC7806257.jsonl,"Male heads were incubated for 5 min on a ThermoMixer (Eppendorf 5382000023), and 25 min in a rotating hybridization oven, and female heads were incubated for 10 min on the ThermoMixer and 50 min in rotating oven, all at 37°C."
PMC7806257.jsonl,"For each trial, 10 female Liverpool-IB12 virgin mosquitoes were crossed to 11 virgin male mosquitoes of either Liverpool-IB12 or fruitless∆M/fruitless∆M-tdTomato genotype in a bucket cage for 24 hr, with access to 10% sucrose."
PMC9122496.jsonl,The stimulus was synthesized based on the characteristics of 13 males (average dominant frequency: 4.3 kHz) and 3 typical places of flowing water.
PMC9122496.jsonl,"Two monitors were moved and rotated to ensure that both the distance between the two monitors and the distance between the initial female placement point were all 1 m, resulting in a 60° angle between two frames with respect to the initial female placement position (Figure 8)."
PMC8986317.jsonl,"Images of the signals (Fg in green and pathogens in red) were analyzed in ImageJ using Pixel color counter (Gaston et al., 2020).Human urine collectionHuman urine was collected and pooled from at least two healthy female donors between 20 and 40 years of age."
PMC8843090.jsonl,"We selected DaT SPECT scans for all 210 healthy controls (aged 30–84 years; 71 females) included in the PPMI (Marek et al., 2011) database (https://www.ppmi-info.org/data)."
PMC8903827.jsonl,"Materials and methodsParticipantsStudy 1 tested 25 human adults (14 females, 11 males; 23 East/South Asians and 1 Caucasian male) who had moderate to extensive experience in caretaking or studying chimpanzees (3 months = 1; 1–5 years = 10; 5–10 years = 4; >10 years = 10)."
PMC7924952.jsonl,"In 1989, approximately 2100 women and 1600 men aged 60 years or over were living in the city of Dubbo (Jones et al., 1994), and at the time of commencement (1989), DOES involved over 60% of this population, with 98.6% of them being Caucasian origin (Bliuc et al., 2015)."
PMC9536836.jsonl,"This was followed 3–5 days later for putrescine preference behavior at 25 ℃ in a T-maze assay.For temperature shifts at testing, 1-day-old females were kept with males for 24 hr at 25 ℃."
PMC7987337.jsonl,"Materials and methodsPatients and samplesA subset of 156 young (<60 years) male COVID-19 patients was selected from the Italian GEN-COVID cohort of 1,178 SARS-CoV-2-infected participants (https://sites.google.com/dbm.unisi.it/gen-covid) (Daga et al., 2021)."
PMC7987337.jsonl,5 × 105 PBMC from COVID-19 patients 6 months after recovery and six unaffected male and female controls were stimulated for 4 hr with the TLR7 agonist imiquimod at 5 μg/mL or cell culture medium.
PMC9200407.jsonl,"Materials and methodsParticipantsIntracranial electroencephalography (iEEG) recordings were acquired from 10 patients (5 females; 9 right-handed, 1 ambidextrous) with drug-intractable epilepsy."
PMC9075957.jsonl,"Additionally, we used data generated from founder F0 (LG/J (n = 6) and SM/J (6)) high fat-fed female animals, also generated for a different study and subjected to the same weaning protocol and diets (Carson et al., 2020)."
